NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
S020014C-NCR-014,"Project No.:S020014C  Assembly No.: 23  Part No.: 27015 # 27017  Weld Seam No.: AW2718/23/1-9  Stage: Visual Examination  Place: M/s. Pinnacle, 1403 Annex  Requirement: No Visual defect found on weld Seams and metal surface    Observation: Burn-through observed in seam No. AW2718/23/1-9. Refer attached Photo",Visual Inspection,Nuclear,Minor,Closed,Yes,-Rework shall be carried out as per LTFPS No.: 2704-02 R0 Or latest revision.,Workmanship,#NAME?,Human Error,-We will reject SA-1 & manufacture new SA-1.SA-2 will keep as it is. And Followed traveler no. for rework.,Workman,Repair (Rectify Partially),Yes,Rectification proposal acceptable.,Rewelded and found satisfactory.,NULL,2022-03-29,2022-03-30,2022-07-02,2022-03-31,No,NULL,NULL,692,832
S040677A-NCR-002,"Requirement:Plate base material shall be free of any damage which affect thickness required by drawing requirement.   Deviation: PL: 0400090317, Item: 501, Heat No :051376/832442 Mill Plate No :233160 Shell- 1 having Dent on Clad side  with damage of 1550 mm Length & full width in scattered pattern.   Objective Evidence: Refer atached Mapping report of plate for reference. ",IN PROCESS INSPECTION,Shell,Minor,Closed,Yes,Follow Welding / Design comments to carry out repair ,Handling,Handling / transportation / storage dents & rust in localized area ,Material Handling,NA  One of the case ,Management,Repair (Rectify Partially),Yes,"Refer comment below  1) Rectification shall be per client approved SWRP.  2) Applicable Seam No for the repair shall be R-002  3) Post Rectification, clad thickness shall meet the drawing requirement  4) Client approved SWRP shall be attached in this NCR ",Rectification to be carried out  as per SWRP-S040677A-NCR-25366.NDE after PWHT has been closed.,NULL,2022-04-11,2022-05-12,2022-06-17,2022-06-01,No,NULL,NULL,4751,4758
S040525A-NCR-001,"Requirement :- After hydro test PT Examination shall be conducted as per ITP stage, acceptance criteria shall be followed as per approved  PT examination procedure .    Actual :- During PT Examination (after hydro test ) of  weld seam no. NW201,NW202,NW203 & NW204, Many cluster rounded indication observed on weld surface / base material near to weld .  Evidence :- Attached photo of PT Indication    ",NULL,Exchanger,Major,Closed,Yes,"- Prepare a checklist to execute the Pickling passivation operations and  maintain a record for each stage for procedural compliance.  - Cleaning in all stages i.e pre cleaning, in process cleaning and post cleaning  must be ensured by production and Surface treatment cell for pickling  passivation.  -Share this incident and Train all operators & supervisor to provide  knowledge and sensitivity",Workmanship,#NAME?,Others,"- Prepare a checklist to execute the Pickling passivation operations and  maintain a record for each stage for procedural compliance.  - Cleaning in all stages i.e pre cleaning, in process cleaning and post cleaning  must be ensured by production and Surface treatment cell for pickling  passivation.  -Share this incident and Train all operators & supervisor to provide  knowledge and sensitivity",Management,Repair (Rectify Partially),Yes,Rectification proposal is acceptable. Follow welding engineer comments.,Rectification done and NCR closed.,Yes,2022-04-04,2022-04-07,2022-07-02,2022-04-08,No,NULL,NULL,770,773
S040525B-NCR-001,"Requirement :- Prior to hydro test PT Examination shall be conducted as per ITP stage, acceptance criteria shall be followed as per approved  PT examination procedure .    Actual :- During PT Examination (prior to hydro test ) of  weld seam no. NW201,NW202,NW203 & NW204, Many cluster rounded indication observed on weld surface / base material near to weld .  Evidence :- Attached photo of PT Indication",NULL,Exchanger,Minor,Closed,Yes,"Prepare a checklist to execute the Pickling passivation operations and  maintain a record for each stage for procedural compliance.  - Cleaning in all stages i.e pre cleaning, in process cleaning and post cleaning  must be ensured by production and Surface treatment cell for pickling  passivation.  -Share this incident and Train all operators & supervisor to provide  knowledge and sensitivity",Workmanship,#NAME?,Others,"- Prepare a checklist to execute the Pickling passivation operations and  maintain a record for each stage for procedural compliance.  - Cleaning in all stages i.e pre cleaning, in process cleaning and post cleaning  must be ensured by production and Surface treatment cell for pickling  passivation.  -Share this incident and Train all operators & supervisor to provide  knowledge and sensitivity",Management,Repair (Rectify Partially),Yes,Rectification proposal as per the customer approved procedure is acceptable.,Rectification carried out as per approved repair plan & Found satisfactory. ,NULL,2022-04-06,2022-04-27,2022-05-04,2022-05-03,No,NULL,NULL,765,784
NCR-25369,"Deviation: Base metal damage (22 mm length x 5 mm width x 2 mm deep) observed on companion flange of top spool N7 (ITEM NO. 6106, MATERIAL : SA 182M Gr. F 321) after hydro test.  Evidence: Attached photograph  ",AFTER HYDRO TEST ,Nozzle Forging,Minor,Closed,Yes,Rectification as per weld repair plan,Handling,"•Slinger was assigned duty for section handling in shop. Hence, another workmen was assigned for handling component in yard area. Improper component handling due to less experience could have caused the damage  •Flange protection cover was removed for pickling/passivation. Protection not ensured during handling  ",Material Handling,Rectification as per weld repair plan  ,Management,Repair (Rectify Partially),No,"1)  Follow the welding recommendation for repair & NDE  2)  Post rectification, ensure the drawing requirements  ",Rectification carried out as per SWRP and found satisfactory.,NULL,2022-06-07,2022-06-15,2022-06-17,2022-06-16,No,NULL,NULL,1456,1823
S010428-NCR-003,Required: 2 Nos. External Dished Nominal Thickness required 54mm and Minimum thickness required 47mm.  Observation : 1) External Dished Part No. 1003 minimum thickness measured 43.57mm.                        2) External Dished Part No. 1303 minimum thickness measured 45.00mm  Objective Evidence: Refer attached thickness measurement report.,NULL,Dished End Assembly,Minor,Closed,No, External head 1003 & 1303 to be accepted as it is based on design proposal for additional fillet on Channel # head joint.  Please follow design & Engg comments.,Vendor,Material procurement done with petal construction design based on earlier executed of 120C in past. Head construction is changed from petal to single piece with chordal seam as per comments on GA drawing dated 6-Jul-20. Excessive mechanical pressure applied on knuckle area to get desired shape and thickness loss of head during intermediate normalizing  & final normalizing of head.  This could be thickness reduction in knuckle area of head.,Vendor Mistake,"1)  Thickness mapping of head done. Based on actual thickness  & design review, nozzle reinforcement area with additional fillet between header to head is meeting requirement design requirement, so both head to be accepted as it is.  ",Management,Repair (Rectify Partially),Yes,"The reduced thickness of the dished end meets the internal pressure requirements. However it is not meeting the reinforcement area requirement for the opening for Channel header. So to meet the reinforcement area requirement, the fillet weld between the Channel and Dished end to be increased to 50 mm and 40 mm on outside and inside respectively. Refer the attached sketch "" Sketch with additional fillet"" for the same. Follow WE comments. PWHT of this joint shall be done as per approved PWHT procedure.",Accept as It is.,NULL,2022-04-06,2022-05-23,2022-07-06,2022-06-18,No,NULL,NULL,55,73
NCR-25371,"Requirement: Ferrule (Combination of Inconel + Las material) to be installed at inside of Tube, LAS material portion of ferrule shall be at inside of tube & Inconel material portion of ferrule shall be at open end of tube sheet.     Deviation: During visual inspection of ferrule (After PWHT stage) , it has been observed that 01 Nos. ferrule has been assembled on job in opposite direction (Las material portion observed at open end of tube sheet instead Inconel material).     Objective evidence: Refer attached Photo for Tube location.  ",Visual Inspection after PWHT. ,Other,Major,Closed,Yes,Rectification to be done as per Design and welding comments,Workmanship,"Welding operator missed out to ensure LAS portion to be inserted inside tube. As ferrule OD was machined after Inconel stub # LAS stub welding, Same has not been identified as there is no color coding done to differentiate Inconel and LAS portion.",Assembly & Integration (In Process),For future jobs where Ferrule OD to be machined after Dissimilar metal welding one Inconel end of the ferrule to color coded with green to ensure correct insertion of Ferrule.  Magnet check at ferrule after set up to be ensure,Workman,Rework (Complete Rectification),No,The rectification proposal is acceptable. The ferrule shall be expanded inside the tubes and tubesheet as per the expanded region indicated in the drawing. ,Rectification carried out as per design comments & Found satisfactory. ,Yes,2022-04-06,2022-06-22,2022-06-24,2022-06-22,No,NULL,NULL,318,796
NCR-25373,"Requirements:-      (1) 8 mm Thick. weld overlay required on back face of Nozzles (Nozzle:- V2,D1,D2 & H1).      (2) 3 mm Deep step machining required before weld overlay on gasket face of nozzles and blind flanges ( for Nozzle:- V2,D1, D2 & H1).    Deviation: -      (1) During Design verification observed that 5 mm Weld overlay thickness mentioned in Drg. and as per Drg. nozzle V2 weld overlay completed.       (2) During Design verification observed that gasket face weld overlay started without step machining & blind flanges for nozzle D1,D2, H1 & nozzle V1 weld overlay Completed.    Objective Evidence:-  Inspection reports. ",In process inspection ,Nozzle Forging,Major,Closed,Yes,Overlay Removal & Re- Doing of Overlay ,Execution,Attached;   1. For Point 1 : Requirement of separate seam no & thickness of back face nozzle was not envisaged and assumed that overlay thickness mentioned in nozzle ID information is sufficient for back face.  2.  For Point 2 & 3 : Step machining requirement missed being standard items. ,PMG/Planning Mistake,Sharing current issue among Design & planning engineering team & make them educate for checks for handling overlay components.  ,Management,Repair (Rectify Partially),No,1. Rectification proposal to re-do weld overlay is acceptable.  2. Weld overlay shalll be removed. 3 mm Machining on gasket face shall be done and re-do weld overlay. Refer DCR no. S010440-DCR-015 and S010441-DCR-018.  Follow welding engineer comments for weld overlay. NDT as per ITP shall be done after re doing weld overlay.,NCR Closed ,Yes,2022-04-18,2022-05-02,2022-06-20,2022-05-05,No,NULL,NULL,166,2443
S020014C-NCR-015,"Project No. S020014C (SA32/C)  Requirement: Require Manganese (Mn) content value is 2.5% to 3.5% in chemical analysis for chips collected from inconel cladding of QCB.  Deviation: Actual Manganese (Mn) content value is 3.75% for cladding thickness of 7.5 - 6.5 mm and 3.70% for cladding thickness of 6.5 - 5.5 mm in chemical analysis as per OPN No. 130 of LTFPS No. 3214, Rev. R01.  Objective Evidence: Test Report No. CC5888 and CC5889 dated 15.05.2021.  Note: PWTC is transferred to Project No. S020014C as per ECR No. S020014-DCR-281.",NULL,Steam Generator,Minor,Closed,No,Deviation shall be accepted as it is. Since similar deviation in Mn content observed during consumable qualification also & same has been accepted by customer through NPC-NCR No.C02180002-NCR-003 ,Materials,Marginal Mn pick up due to flux based process,Others,NA,Management,Accept as it is,Yes,Deviation accepted as it is,Deviation is accepted as is.,NULL,2022-04-11,2023-06-27,2023-07-11,2023-07-03,No,NULL,NULL,623,794
NCR-25376,"Requirement: Thickness of base metal shall be within tolerance limit. Required thickness of tube is 8 mm +/- 0.8mm.  Deviation: Base metal found damaged due to excessive grinding in   a) EV3 CYL VI (Min, thickness observed up to 6.5mm) adjacent to J-stick bend and   b) EVP3 MW (Min, thickness observed up to 3.24 mm) water path 3300 at 284.5 Deg. orientation    Objective Evidence: Photo is attached.",Surveillance,Other,Major,Closed,Yes,1.Both the spots to be filled up with applicable WPS   2. Rectification to be done as per Welding engineering comments.,Workmanship,Casual approach of workmen during grinding of Fins.,Others,Awareness session to be conducted for all Grinders,Workman,Repair (Rectify Partially),No,Rectification proposal is accepted. Follow comments from Welding Engg for the rectification.,Completed as per Design and WE comments followed by NDT.,Yes,2022-04-11,2023-06-27,2023-07-11,2023-07-03,No,NULL,NULL,879,960
NCR-25377,"Project No.: S010459  Customer: VAM Reactor  Supplier: M/s. DALIAN SHIPBUILDING INDUSTRY EXPLOSIVE PROCESSING RESEARCH, CHINA   MOC: SA-264 (SA-516M-GR 485+SA-240M-Type 316L)  Plate size :    45+3thk X 2000W X 9300L-2 NOS  38+4thk X 2630W X 8900L-4 NOS  38+4thk X 2650 W X 2650 -2 NOS  Problem Description:  Local disbonded area found after UT on plate surface at vendor place. Total area observed 0.05 m2 out of 144.8 m2 (0.4% of total plate surface area). Refer Annexure-1 for details.",NULL,Reactor,Minor,Closed,Yes,1. Carry out rectification as per approved repair plan and as per PCL  2. Disbonding area covered in offcut zone as per attached PCL to be removed during plate cutting,Vendor,"1. Explosion bonding process limitation, localised disbonding observed at initiation point  2. Area of initiation point is approx 30 mm  dia, due to the characteristics of explosive recombination, 100% bonding cannot be fully guaranteed.",Vendor Mistake,1. Explosive should be controlled to minimise the disbonding area of the initiation point within code values  2. Vendor should start initiation of explosion from the corner which can be trimmed off,Management,Repair (Rectify Partially),No,Proposal to repair the local disbonded region is acceptable. Follow repair plan and compliance to all NDTs as per QCP and test plan.,NCR Closed ,NULL,2022-04-13,2022-04-14,2022-04-18,2022-04-18,No,NULL,NULL,126,126
